"","District...Harbor","X","X.1","X.2","X.3","X.4","X.5"
"9","1/16/2015","30","0","0","0","0","‭90141975‬"
"10","2/18/2015","33","0","0","0","0","‭90141975‬"
"11","3/18/2015","28","0","0","0","0","‭90141975‬"
"12","4/16/2015","29","0","0","0","0","‭90141975‬"
"13","5/15/2015","29","0","0","0","0","‭90141975‬"
"14","6/16/2015","32","0","0","0","0","‭90141975‬"
"15","7/16/2015","30","0","0","0","0","‭90141975‬"
"16","8/17/2015","32","0","0","0","0","‭90141975‬"
"17","9/15/2015","29","0","0","0","0","‭90141975‬"
"18","10/16/2015","31","0","0","0","0","‭90141975‬"
"19","11/17/2015","32","0","0","0","0","‭90141975‬"
"20","12/17/2015","30","0","0","0","0","‭90141975‬"
"32","1/22/2015","35","0","0","0","0","‭90169931‬"
"33","2/23/2015","32","1","4.97","0","4.97","‭90169931‬"
"34","3/25/2015","30","1","4.97","0","4.97","‭90169931‬"
"35","4/21/2015","27","0","0","0","0","‭90169931‬"
"36","5/21/2015","30","0","0","0","0","‭90169931‬"
"37","6/19/2015","29","0","0","0","0","‭90169931‬"
"38","7/22/2015","33","0","0","0","0","‭90169931‬"
"39","8/19/2015","28","0","0","0","0","‭90169931‬"
"40","9/18/2015","30","0","0","0","0","‭90169931‬"
"41","11/20/2015","63","4","18.96","0","18.96","‭90169931‬"
"42","12/22/2015","32","0","0","0","0","‭90169931‬"
"54","1/20/2015","34","0","0","0","0","‭90069458‬"
"55","2/23/2015","34","0","0","0","0","‭90069458‬"
"56","3/20/2015","25","0","0","0","0","‭90069458‬"
"57","4/17/2015","28","0","0","0","0","‭90069458‬"
"58","5/18/2015","31","0","0","0","0","‭90069458‬"
"59","6/17/2015","30","0","0","0","0","‭90069458‬"
"60","7/17/2015","30","0","0","0","0","‭90069458‬"
"61","8/17/2015","31","0","0","0","0","‭90069458‬"
"62","9/16/2015","30","0","0","0","0","‭90069458‬"
"63","10/16/2015","30","0","0","0","0","‭90069458‬"
"64","11/17/2015","32","0","0","0","0","‭90069458‬"
"65","12/17/2015","30","0","0","0","0","‭90069458‬"
"77","1/10/2015","31","0","0","0","0","‭90330372‬"
"78","2/11/2015","32","9","44.66","0","44.66","‭90330372‬"
"79","3/14/2015","31","31","161.4","0","161.4","‭90330372‬"
"80","4/10/2015","27","27","140.63","0","140.63","‭90330372‬"
"81","5/11/2015","31","28","143.1","0","143.1","‭90330372‬"
