,Category,obvi,,
852,96117469;96117470,NA,,
403,90127573,0.916666666666667,,
429,90133586,0.916666666666667,,
476,90155475,0.916666666666667,,
721,90444950,0.916666666666667,,
756,96101646,0.916666666666667,,
825,96110731,0.916666666666667,,
498,90173331,0.909090909090909,,
155,49410490,0.833333333333333,,
537,90204571,0.833333333333333,,
728,95004572,0.833333333333333,,
987,96170323,0.833333333333333,,
988,96170353,0.833333333333333,,
152,49406377,0.777777777777778,,
384,90101762,0.727272727272727,,
409,90130132,0.666666666666667,,
454,90141925,0.666666666666667,,
569,90305608,0.666666666666667,,
978,96169628,0.666666666666667,,
1011,96197776,0.666666666666667,,
379,90096764,0.583333333333333,,
404,90128159,0.583333333333333,,
428,90133196,0.583333333333333,,
463,90151751,0.583333333333333,,
869,96128491,0.583333333333333,,
927,96139890,0.583333333333333,,
484,90169931,0.545454545454545,,
1002,96186672,0.545454545454545,,
82,49129398,0.454545454545455,,
522,90193844,0.454545454545455,,
242,61000777,0.428571428571429,,
160,49422556,0.416666666666667,,
464,90151792,0.416666666666667,,
465,90151806,0.416666666666667,,
500,90176517,0.416666666666667,,
546,90217247,0.416666666666667,,
681,90396719,0.416666666666667,,
715,90442468,0.416666666666667,,
873,96128524,0.416666666666667,,
1001,96186551,0.416666666666667,,
474,90155461,0.363636363636364,,
308,90038775,0.333333333333333,,
432,90134127,0.333333333333333,,
752,96101366,0.272727272727273,,
1062,96204346,0.272727272727273,,
801,96106231,0.222222222222222,,
351,90074576,0.181818181818182,,
354,90077715,0.181818181818182,,
322,90046013,0.166666666666667,,
421,90132042,0.166666666666667,,
521,90193589,0.166666666666667,,
646,90351018,0.166666666666667,,
885,96129056,0.166666666666667,,
1000,96183462,0.166666666666667,,
295,90026627,0.142857142857143,,
890,96129156,0.142857142857143,,
788,96103716,0.111111111111111,,
835,96115565,0.111111111111111,,
100,49132394,0.0909090909090909,,
215,50801442,0.0909090909090909,,
225,50900735,0.0909090909090909,,
244,61003134,0.0909090909090909,,
742,96101297,0.0909090909090909,,
867,96128479,0.0909090909090909,,
972,96157993,0.0909090909090909,,
1066,96211846,0.0909090909090909,,
87,49130104,0.0833333333333333,,
674,90381334,0.0833333333333333,,
707,90437012,0.0833333333333333,,
793,96103990,0.0833333333333333,,
868,96128480,0.0833333333333333,,
871,96128508,0.0833333333333333,,
979,96169634,0.0833333333333333,,
989,96170648,0.0833333333333333,,
1024,96200932,0.0833333333333333,,
1075,96214630,0.0833333333333333,,
1018,96200442,241.083333333333,,
390,90123905,191.5,,
861,96118297,139,,
401,90126543,133.333333333333,,
1008,96187592,126,,
1100,96216754,125,,
821,96109636,124.6,,
468,90154968,116,,
6,29013329,106,,
922,96132484,100,,
5,29011419,99.0909090909091,,
110,49136659,95.6,,
313,90041218,90.6,,
408,90129805,90.0909090909091,,
103,49133498,85.0833333333333,,
547,90217465,77.9166666666667,,
226,50900736,75.0833333333333,,
545,90215494,72.5454545454545,,
1065,96211824,71.3333333333333,,
607,90330608,69.25,,
552,90227342,67.5833333333333,,
64,46550142,66.5,,
580,90308923,66,,
587,90321976,63,,
769,96103191,62.8333333333333,,
1005,96187090,56.25,,
818,96109039,53.8181818181818,,
501,90176751,52.25,,
169,49510369,51.9,,
593,90323007,51.1666666666667,,
1063,96204362,50.9166666666667,,
1031,96201566,50.4166666666667,,
682,90397244,50.0833333333333,,
1083,96216648,50,,
608,90330609,49.9166666666667,,
8,30050788,48.75,,
777,96103299,47,,
517,90187292,46.5833333333333,,
902,96129785,46.5833333333333,,
750,96101353,45.8333333333333,,
747,96101343,44.4166666666667,,
647,90351371,44.2727272727273,,
743,96101298,43.3333333333333,,
3,18055778,43.3,,
650,90356576,43.125,,
624,90337359,43.0833333333333,,
223,50900679,42.5833333333333,,
672,90381025,41.6666666666667,,
703,90417144,39.4166666666667,,
952,96152758,39.1666666666667,,
753,96101368,39,,
1102,96217386,37.5,,
44,31801379,37.1818181818182,,
121,49240095,37.1666666666667,,
1103,96217867,37,,
492,90171680,36.625,,
739,96100549,36.3333333333333,,
1041,96202841,36.3333333333333,,
94,49130778,35.25,,
182,49519239,34.25,,
1004,96186991,33.8181818181818,,
965,96155957,33.75,,
98,49131350,32.9166666666667,,
586,90321966,32.25,,
993,96174136,32.25,,
224,50900734,32.0909090909091,,
456,90141938,31.5833333333333,,
371,90091187,31.1,,
770,96103194,30.2727272727273,,
502,90184225,30.1666666666667,,
663,90375551,29.9,,
744,96101333,28.4,,
130,49243099,28.2222222222222,,
658,90371435,28.0909090909091,,
622,90337156,27.4545454545455,,
144,49247931,27.25,,
120,49240093,27.1666666666667,,
399,90126039,27,,
820,96109167,27,,
1070,96212656,27,,
114,49137888,26.1818181818182,,
605,90330372,26.0833333333333,,
799,96104434,26,,
1093,96216703,26,,
592,90322893,25.5833333333333,,
900,96129584,25.5,,
382,90099572,25,,
1059,96204162,24.75,,
1047,96203397,24.3333333333333,,
334,90056404,24.0833333333333,,
511,90186363,23.9,,
778,96103300,23.8333333333333,,
855,96117833,23.7,,
551,90224356,23.6363636363636,,
542,90208181,23.5,,
862,96120857,23.5,,
766,96101678,23.1666666666667,,
129,49243098,22.7777777777778,,
79,49128383,22.4166666666667,,
765,96101666,22.2222222222222,,
689,90397528,22,,
243,61003018,21.8888888888889,,
923,96132488,21.6666666666667,,
326,90050433,21.6,,
614,90336561,21.5833333333333,,
803,96107902,21.2,,
1090,96216692,21,,
327,90050460,20.8,,
568,90305576,20.5833333333333,,
668,90378180,20.5454545454545,,
187,49520248,20.1666666666667,,
269,90015885,20.1666666666667,,
544,90215478,19.8888888888889,,
925,96137587,19.8333333333333,,
983,96169702,19.8333333333333,,
655,90366591,19.8181818181818,,
25,31672878,19.75,,
723,90445190,19.7,,
328,90050794,19.6666666666667,,
599,90323154,19.5,,
115,49138154,19.3333333333333,,
957,96154115,19.1666666666667,,
670,90378528,19.0833333333333,,
253,90000773,18.9166666666667,,
29,31689023,18.75,,
19,31611487,18.5,,
76,49126187,18.1666666666667,,
117,49139215,17.9166666666667,,
652,90356842,17.75,,
447,90141621,17.6666666666667,,
688,90397512,17.6666666666667,,
34,31699851,17.5833333333333,,
588,90322190,17.4444444444444,,
109,49136556,17.3,,
704,90417277,17.25,,
741,96101294,16.9166666666667,,
251,90000615,16.8333333333333,,
779,96103361,16.6666666666667,,
113,49137593,16.5833333333333,,
228,50902127,16.5833333333333,,
505,90185848,16.5833333333333,,
1078,96214667,16.1666666666667,,
85,49129577,16,,
361,90082126,15.9166666666667,,
884,96129053,15.8333333333333,,
1020,96200493,15.6666666666667,,
771,96103198,15.5,,
683,90397247,15.3333333333333,,
1081,96215794,15.25,,
932,96140819,15.0833333333333,,
1061,96204294,15,,
1087,96216681,15,,
337,90060797,14.9166666666667,,
589,90322196,14.75,,
122,49240287,14.6666666666667,,
125,49241951,14.6666666666667,,
108,49136546,14.4,,
426,90133094,14.3333333333333,,
20,31611593,14.1818181818182,,
1099,96216742,14,,
341,90065076,13.9166666666667,,
1052,96203638,13.8333333333333,,
719,90444884,13.75,,
854,96117733,13.75,,
1022,96200769,13.75,,
394,90124982,13.6666666666667,,
625,90337475,13.5833333333333,,
555,90228521,13.3636363636364,,
352,90076710,13.25,,
780,96103368,13.1818181818182,,
582,90309016,13.1666666666667,,
866,96128376,13.1666666666667,,
882,96128948,13,,
159,49415922,12.7,,
549,90219350,12.6666666666667,,
1043,96202917,12.6666666666667,,
338,90060976,12.5833333333333,,
953,96152787,12.5,,
93,49130574,12.3636363636364,,
696,90399080,12.3333333333333,,
685,90397256,12.25,,
665,90377930,12.1666666666667,,
669,90378300,12.1666666666667,,
684,90397248,12,,
380,90096813,11.9166666666667,,
459,90141969,11.9166666666667,,
1033,96201972,11.9166666666667,,
4,26366248,11.9090909090909,,
483,90169187,11.5833333333333,,
127,49242867,11.5454545454545,,
107,49136314,11.5,,
621,90337065,11.5,,
66,49112058,11.4,,
171,49513227,11.4,,
648,90356298,11.3636363636364,,
524,90201191,11.25,,
375,90092972,11.1666666666667,,
904,96130012,11.0909090909091,,
230,60301567,11,,
841,96116040,11,,
977,96169624,11,,
378,90096717,10.8333333333333,,
746,96101341,10.8333333333333,,
220,50802102,10.8181818181818,,
455,90141927,10.75,,
692,90398582,10.75,,
191,49521464,10.5833333333333,,
189,49520561,10.5,,
1089,96216689,10.5,,
732,95011616,10.3333333333333,,
145,49247952,10.25,,
990,96171777,10.25,,
829,96110881,10.2,,
163,49426184,10.1666666666667,,
686,90397316,10.1666666666667,,
916,96131747,10.0833333333333,,
389,90122723,9.91666666666667,,
815,96108743,9.91666666666667,,
331,90055203,9.83333333333333,,
38,31701207,9.75,,
443,90140833,9.75,,
506,90185975,9.75,,
