"","V1","V2","V3","V4","V5","V6","V7"
"10","1/16/2015","30","0","0","0","0","‭90141975‬"
"11","2/18/2015","33","0","0","0","0","‭90141975‬"
"12","3/18/2015","28","0","0","0","0","‭90141975‬"
"13","4/16/2015","29","0","0","0","0","‭90141975‬"
"14","5/15/2015","29","0","0","0","0","‭90141975‬"
"15","6/16/2015","32","0","0","0","0","‭90141975‬"
"16","7/16/2015","30","0","0","0","0","‭90141975‬"
"17","8/17/2015","32","0","0","0","0","‭90141975‬"
"18","9/15/2015","29","0","0","0","0","‭90141975‬"
"19","10/16/2015","31","0","0","0","0","‭90141975‬"
"20","11/17/2015","32","0","0","0","0","‭90141975‬"
"21","12/17/2015","30","0","0","0","0","‭90141975‬"
"33","1/22/2015","35","0","0","0","0","‭90169931‬"
"34","2/23/2015","32","1","4.97","0","4.97","‭90169931‬"
"35","3/25/2015","30","1","4.97","0","4.97","‭90169931‬"
"36","4/21/2015","27","0","0","0","0","‭90169931‬"
"37","5/21/2015","30","0","0","0","0","‭90169931‬"
"38","6/19/2015","29","0","0","0","0","‭90169931‬"
"39","7/22/2015","33","0","0","0","0","‭90169931‬"
"40","8/19/2015","28","0","0","0","0","‭90169931‬"
"41","9/18/2015","30","0","0","0","0","‭90169931‬"
"42","11/20/2015","63","4","18.96","0","18.96","‭90169931‬"
"43","12/22/2015","32","0","0","0","0","‭90169931‬"
"55","1/20/2015","34","0","0","0","0","‭90069458‬"
"56","2/23/2015","34","0","0","0","0","‭90069458‬"
"57","3/20/2015","25","0","0","0","0","‭90069458‬"
"58","4/17/2015","28","0","0","0","0","‭90069458‬"
"59","5/18/2015","31","0","0","0","0","‭90069458‬"
"60","6/17/2015","30","0","0","0","0","‭90069458‬"
"61","7/17/2015","30","0","0","0","0","‭90069458‬"
"62","8/17/2015","31","0","0","0","0","‭90069458‬"
"63","9/16/2015","30","0","0","0","0","‭90069458‬"
"64","10/16/2015","30","0","0","0","0","‭90069458‬"
"65","11/17/2015","32","0","0","0","0","‭90069458‬"
"66","12/17/2015","30","0","0","0","0","‭90069458‬"
"78","1/10/2015","31","0","0","0","0","‭90330372‬"
"79","2/11/2015","32","9","44.66","0","44.66","‭90330372‬"
"80","3/14/2015","31","31","161.4","0","161.4","‭90330372‬"
"81","4/10/2015","27","27","140.63","0","140.63","‭90330372‬"
"82","5/11/2015","31","28","143.1","0","143.1","‭90330372‬"
"83","6/10/2015","30","20","98.64","0","98.64","‭90330372‬"
"84","7/10/2015","30","33","176.5","0","176.5","‭90330372‬"
"85","8/11/2015","32","32","171.79","0","171.79","‭90330372‬"
"86","9/9/2015","29","35","193.06","0","193.06","‭90330372‬"
"87","10/8/2015","29","35","190.14","0","190.14","‭90330372‬"
"88","11/9/2015","32","31","154.05","0","154.05","‭90330372‬"
"89","12/10/2015","31","32","161.47","0","161.47","‭90330372‬"
"101","1/10/2015","31","0","0","0","0","‭96152734‬"
"102","2/11/2015","32","2","9.91","0","9.91","‭96152734‬"
"103","3/14/2015","31","1","4.97","0","4.97","‭96152734‬"
"104","4/10/2015","27","2","9.89","0","9.89","‭96152734‬"
"105","5/11/2015","31","0","0","0","0","‭96152734‬"
"106","6/10/2015","30","2","9.86","0","9.86","‭96152734‬"
"107","7/10/2015","30","2","9.98","0","9.98","‭96152734‬"
"108","8/11/2015","32","1","5.12","0","5.12","‭96152734‬"
"109","9/9/2015","29","1","5.12","0","5.12","‭96152734‬"
"110","10/8/2015","29","1","5.01","0","5.01","‭96152734‬"
"111","11/9/2015","32","1","4.65","0","4.65","‭96152734‬"
"112","12/10/2015","31","0","0","0","0","‭96152734‬"
"124","1/6/2015","34","10","50.47","0","50.47","‭96214667‬"
"125","2/4/2015","29","0","0","0","0","‭96214667‬"
"126","3/5/2015","29","24","119.1","0","119.1","‭96214667‬"
"127","4/3/2015","29","24","119.04","0","119.04","‭96214667‬"
"128","5/1/2015","28","15","74","0","74","‭96214667‬"
"129","6/2/2015","32","12","59.19","0","59.19","‭96214667‬"
"130","7/1/2015","29","13","64.2","0","64.2","‭96214667‬"
"131","8/1/2015","31","3","15.33","0","15.33","‭96214667‬"
