"","V7","V5.m","V5.s"
"1","‭00040676-581628‬",2,0
"2","‭02637241‬",2,0
"3","‭18055778‬",2,0
"4","‭26366248‬",2,0
"5","‭29011419‬",188,150.426726348744
"6","‭29013329‬",2,0
"7","‭29566464‬",2,0
"8","‭30050788‬",2,0
"9","‭30767261‬",2,0
"10","‭31522907‬",2,0
"11","‭31545384‬",2,0
"12","‭31569134‬",2,0
"13","‭31583292‬",2,0
"14","‭31599401‬",2,0
"15","‭31607062‬",2,0
"16","‭31607326‬",2,0
"17","‭31607384‬",2,0
"18","‭31611219‬",2,0
"19","‭31611487‬",264.333333333333,115.127860409304
"20","‭31611593‬",2,0
"21","‭31618015‬",2,0
"22","‭31630725‬",2,0
"23","‭31658817‬",2,0
"24","‭31664856‬",2,0
"25","‭31672878‬",2,0
"26","‭31672881‬",2,0
"27","‭31680461‬",2,0
"28","‭31688749‬",2,0
"29","‭31689023‬",2,0
"30","‭31689374‬",2,0
"31","‭31689394‬",2,0
"32","‭31689598‬",2,0
"33","‭31697618‬",2,0
"34","‭31699851‬",2,0
"35","‭31699894‬",2,0
"36","‭31700955‬",2,0
"37","‭31701201‬",2,0
"38","‭31701207‬",2,0
"39","‭31702492‬",2,0
"40","‭31703241‬",2,0
"41","‭31800470‬",2,0
"42","‭31800488‬",2,0
"43","‭31801245‬",2,0
"44","‭31801379‬",2,0
"45","‭31975109‬",2,0
"46","‭31975540‬",2,0
"47","‭32001272‬",2,0
"48","‭32180915‬",2,0
"49","‭32549274‬",2,0
"50","‭38019264‬",2,0
"51","‭40229284‬",2,0
"52","‭40229408‬",2,0
"53","‭41600556‬",2,0
"54","‭42111435‬",2,0
"55","‭42278783‬",2,0
"56","‭42559574‬",2,0
"57","‭43238198‬",2,0
"58","‭45952965‬",2,0
"59","‭45952987‬",2,0
"60","‭46000028‬",2,0
"61","‭46000849‬",2,0
"62","‭46223820‬",2,0
"63","‭46370212‬",2,0
"64","‭46550142‬",2,0
"65","‭49049605‬",2,0
"66","‭49112058‬",2,0
"67","‭49113315‬",2,0
"68","‭49121281‬",2,0
"69","‭49121650‬",2,0
"70","‭49122226‬",2,0
"71","‭49123673‬",2,0
"72","‭49124425‬",2,0
"73","‭49124442‬",2,0
"74","‭49125313‬",2,0
"75","‭49125943‬",2,0
"76","‭49126187‬",2,0
"77","‭49126863‬",2,0
"78","‭49127455‬",2,0
"79","‭49128383‬",2,0
"80","‭49128624‬",2,0
