"","Category","x"
"1","‭00040676-581628‬",0
"2","‭02637241‬",0
"3","‭18055778‬",433
"4","‭26366248‬",131
"5","‭29011419‬",1090
"6","‭29013329‬",636
"7","‭29566464‬",0
"8","‭30050788‬",585
"9","‭30767261‬",0
"10","‭31522907‬",0
"11","‭31545384‬",0
"12","‭31569134‬",51
"13","‭31583292‬",0
"14","‭31599401‬",34
"15","‭31607062‬",0
"16","‭31607326‬",56
"17","‭31607384‬",48
"18","‭31611219‬",0
"19","‭31611487‬",222
"20","‭31611593‬",156
"21","‭31618015‬",0
"22","‭31630725‬",0
"23","‭31658817‬",0
"24","‭31664856‬",15
"25","‭31672878‬",237
"26","‭31672881‬",0
"27","‭31680461‬",0
"28","‭31688749‬",0
"29","‭31689023‬",225
"30","‭31689374‬",70
"31","‭31689394‬",0
"32","‭31689598‬",13
"33","‭31697618‬",61
"34","‭31699851‬",211
"35","‭31699894‬",0
"36","‭31700955‬",0
"37","‭31701201‬",0
"38","‭31701207‬",117
"39","‭31702492‬",0
"40","‭31703241‬",0
"41","‭31800470‬",0
"42","‭31800488‬",95
"43","‭31801245‬",0
"44","‭31801379‬",409
"45","‭31975109‬",0
"46","‭31975540‬",61
"47","‭32001272‬",0
"48","‭32180915‬",0
"49","‭32549274‬",0
"50","‭38019264‬",3
"51","‭40229284‬",0
"52","‭40229408‬",45
"53","‭41600556‬",0
"54","‭42111435‬",0
"55","‭42278783‬",0
"56","‭42559574‬",0
"57","‭43238198‬",0
"58","‭45952965‬",0
"59","‭45952987‬",0
"60","‭46000028‬",0
"61","‭46000849‬",0
"62","‭46223820‬",0
"63","‭46370212‬",17
"64","‭46550142‬",665
"65","‭49049605‬",0
"66","‭49112058‬",114
"67","‭49113315‬",9
"68","‭49121281‬",26
"69","‭49121650‬",0
"70","‭49122226‬",89
"71","‭49123673‬",0
"72","‭49124425‬",51
"73","‭49124442‬",0
"74","‭49125313‬",0
"75","‭49125943‬",66
"76","‭49126187‬",218
"77","‭49126863‬",26
"78","‭49127455‬",0
"79","‭49128383‬",269
"80","‭49128624‬",0
"81","‭49129289‬",0
"82","‭49129398‬",5
"83","‭49129400‬",0
"84","‭49129436‬",0
"85","‭49129577‬",192
"86","‭49130088‬",0
"87","‭49130104‬",1
"88","‭49130333‬",0
"89","‭49130339‬",0
"90","‭49130346‬",0
"91","‭49130476‬",48
"92","‭49130562‬",0
"93","‭49130574‬",136
"94","‭49130778‬",423
"95","‭49130853‬",4
"96","‭49130923‬",0
"97","‭49130935‬",0
"98","‭49131350‬",395
"99","‭49132263‬",0
"100","‭49132394‬",1
"101","‭49133184‬",0
"102","‭49133387‬",0
"103","‭49133498‬",1021
"104","‭49134111‬",0
"105","‭49135196‬",0
"106","‭49135841‬",102
"107","‭49136314‬",92
"108","‭49136546‬",144
"109","‭49136556‬",173
"110","‭49136659‬",956
"111","‭49137136‬",29
"112","‭49137434‬",44
"113","‭49137593‬",199
"114","‭49137888‬",288
"115","‭49138154‬",232
"116","‭49138377‬",0
"117","‭49139215‬",215
"118","‭49160859‬",0
"119","‭49188075‬",23
"120","‭49240093‬",326
"121","‭49240095‬",446
"122","‭49240287‬",176
"123","‭49241049‬",0
"124","‭49241062‬",0
"125","‭49241951‬",176
"126","‭49242844‬",0
"127","‭49242867‬",127
"128","‭49243077‬",22
"129","‭49243098‬",205
"130","‭49243099‬",254
"131","‭49243619‬",0
"132","‭49243844‬",0
"133","‭49244332‬",0
"134","‭49244676‬",0
"135","‭49245095‬",0
"136","‭49245821‬",33
"137","‭49246536‬",108
"138","‭49246766‬",0
"139","‭49246767‬",0
"140","‭49247021‬",0
"141","‭49247086‬",0
"142","‭49247087‬",0
"143","‭49247720‬",0
"144","‭49247931‬",327
"145","‭49247952‬",123
"146","‭49249170‬",0
"147","‭49249331‬",0
"148","‭49249370‬",0
"149","‭49249381‬",93
"150","‭49401950‬",0
"151","‭49405993‬",25
"152","‭49406377‬",7
"153","‭49406833‬",0
"154","‭49409064‬",71
"155","‭49410490‬",10
"156","‭49411973‬",0
"157","‭49412879‬",0
"158","‭49413721‬",0
"159","‭49415922‬",127
"160","‭49422556‬",5
"161","‭49424352‬",17
"162","‭49425582‬",92
"163","‭49426184‬",122
"164","‭49429032‬",35
"165","‭49432874‬",29
"166","‭49434990‬",42
"167","‭49435004‬",16
"168","‭49435005‬",41
"169","‭49510369‬",519
"170","‭49511675‬",1
"171","‭49513227‬",114
"172","‭49513936‬",0
"173","‭49514498‬",0
"174","‭49514798‬",25
"175","‭49515765‬",0
"176","‭49517674‬",48
"177","‭49517696‬",19
"178","‭49517849‬",0
"179","‭49517853‬",0
"180","‭49518044‬",0
"181","‭49518187‬",70
"182","‭49519239‬",411
"183","‭49519274‬",0
"184","‭49519582‬",0
"185","‭49520020‬",0
"186","‭49520133‬",0
"187","‭49520248‬",242
"188","‭49520378‬",107
"189","‭49520561‬",126
"190","‭49521200‬",0
"191","‭49521464‬",127
"192","‭49521899‬",105
"193","‭49522689‬",31
"194","‭49522720‬",0
"195","‭50005210‬",0
"196","‭50305483‬",10
"197","‭50306163‬",0
"198","‭50361070‬",0
"199","‭50361073‬",0
"200","‭50364877‬",89
"201","‭50380524‬",0
"202","‭50400300‬",0
"203","‭50412039‬",0
"204","‭50412941‬",0
"205","‭50415849‬",17
"206","‭50570056‬",0
"207","‭50570384‬",61
"208","‭50570422‬",0
"209","‭50576095‬",17
"210","‭50576479‬",0
"211","‭50602071‬",0
"212","‭50800240‬",0
"213","‭50800256‬",49
"214","‭50800593‬",0
"215","‭50801442‬",1
"216","‭50801444‬",0
"217","‭50801445‬",0
"218","‭50801537‬",0
"219","‭50801642‬",0
"220","‭50802102‬",119
"221","‭50802859‬",0
"222","‭50900068‬",0
"223","‭50900679‬",511
"224","‭50900734‬",353
"225","‭50900735‬",1
"226","‭50900736‬",901
"227","‭50902078‬",0
"228","‭50902127‬",199
"229","‭60301559‬",102
"230","‭60301567‬",99
"231","‭60600385‬",45
"232","‭60600644‬",0
"233","‭60600751‬",50
"234","‭60600828‬",27
"235","‭60601062‬",0
"236","‭60601143‬",0
"237","‭60603340‬",18
"238","‭60603343‬",0
"239","‭60604020‬",0
"240","‭60608193‬",30
"241","‭60900451‬",78
"242","‭61000777‬",3
"243","‭61003018‬",197
"244","‭61003134‬",1
"245","‭70011415‬",57
"246","‭70044348‬",0
"247","‭70044350‬",0
"248","‭70062774‬",0
"249","‭90000313‬",13
"250","‭90000314‬",13
"251","‭90000615‬",202
"252","‭90000616‬",112
"253","‭90000773‬",227
"254","‭90001975‬",67
"255","‭90003727‬",15
"256","‭90008494‬",33
"257","‭90008932‬",0
"258","‭90008963‬",0
"259","‭90010674‬",0
"260","‭90010755‬",58
"261","‭90010757‬",47
"262","‭90010763‬",13
"263","‭90010764‬",42
"264","‭90010767‬",46
"265","‭90011524‬",12
"266","‭90015301‬",48
"267","‭90015302‬",114
"268","‭90015870‬",48
"269","‭90015885‬",242
"270","‭90019573‬",98
"271","‭90019707‬",56
"272","‭90019709‬",0
"273","‭90019710‬",0
"274","‭90019711‬",0
"275","‭90019754‬",0
"276","‭90019756‬",100
"277","‭90019768‬",0
"278","‭90019770‬",26
"279","‭90019777‬",0
"280","‭90020069‬",0
"281","‭90020416‬",0
"282","‭90020428‬",46
"283","‭90020438‬",58
"284","‭90020944‬",0
"285","‭90020961‬",33
"286","‭90023208‬",75
"287","‭90023216‬",0
"288","‭90023269‬",0
"289","‭90023287‬",0
"290","‭90023651‬",67
"291","‭90023730‬",70
"292","‭90024052‬",0
"293","‭90024221‬",44
"294","‭90024222‬",0
"295","‭90026627‬",1
"296","‭90026662‬",0
"297","‭90030456‬",0
"298","‭90030553‬",0
"299","‭90030689‬",0
"300","‭90030691‬",0
"301","‭90030692‬",3
"302","‭90030695‬",0
"303","‭90030696‬",0
"304","‭90033582‬",13
"305","‭90038349‬",0
"306","‭90038509‬",0
"307","‭90038742‬",0
"308","‭90038775‬",4
"309","‭90039204‬",0
"310","‭90039428‬",0
"311","‭90039596‬",103
"312","‭90041119‬",16
"313","‭90041218‬",906
"314","‭90043690‬",0
"315","‭90043691‬",114
"316","‭90043692‬",0
"317","‭90043922‬",0
"318","‭90045670‬",0
"319","‭90045965‬",82
"320","‭90045997‬",0
"321","‭90046003‬",0
"322","‭90046013‬",2
"323","‭90046698‬",34
"324","‭90048440‬",0
"325","‭90050419‬",0
"326","‭90050433‬",216
"327","‭90050460‬",208
"328","‭90050794‬",236
"329","‭90053880‬",0
"330","‭90054286‬",22
"331","‭90055203‬",118
"332","‭90055214‬",0
"333","‭90055215‬",106
"334","‭90056404‬",289
"335","‭90057139‬",0
"336","‭90057317‬",6
"337","‭90060797‬",179
"338","‭90060976‬",151
"339","‭90060994‬",0
"340","‭90061429‬",0
"341","‭90065076‬",167
"342","‭90065365‬",89
"343","‭90069183‬",57
"344","‭90069332‬",0
"345","‭90069458‬",0
"346","‭90070608‬",0
"347","‭90070878‬",0
"348","‭90071032‬",0
"349","‭90074513‬",22
"350","‭90074524‬",0
"351","‭90074576‬",2
"352","‭90076710‬",159
"353","‭90076716‬",0
"354","‭90077715‬",2
"355","‭90080531‬",0
"356","‭90081170‬",13
"357","‭90081371‬",0
"358","‭90081396‬",68
"359","‭90081843‬",116
"360","‭90082048‬",0
"361","‭90082126‬",191
"362","‭90082209‬",57
"363","‭90082833‬",0
"364","‭90083516‬",53
"365","‭90086410‬",52
"366","‭90087248‬",6
"367","‭90087987‬",0
"368","‭90088605‬",33
"369","‭90091063‬",0
"370","‭90091183‬",78
"371","‭90091187‬",311
"372","‭90091301‬",0
"373","‭90091869‬",55
"374","‭90092473‬",12
"375","‭90092972‬",134
"376","‭90092995‬",35
"377","‭90096716‬",48
"378","‭90096717‬",130
"379","‭90096764‬",7
"380","‭90096813‬",143
"381","‭90099120‬",0
"382","‭90099572‬",300
"383","‭90100707‬",27
"384","‭90101762‬",8
"385","‭90103997‬",0
"386","‭90104162‬",0
"387","‭90104443‬",0
"388","‭90107638‬",0
"389","‭90122723‬",119
"390","‭90123905‬",1149
"391","‭90123976‬",96
"392","‭90124014‬",0
"393","‭90124032‬",0
"394","‭90124982‬",164
"395","‭90125238‬",61
"396","‭90125709‬",79
"397","‭90125710‬",0
"398","‭90125961‬",0
"399","‭90126039‬",324
"400","‭90126457‬",0
"401","‭90126543‬",1600
"402","‭90126546‬",0
"403","‭90127573‬",11
"404","‭90128159‬",7
"405","‭90128202‬",12
"406","‭90128210‬",15
"407","‭90129062‬",47
"408","‭90129805‬",991
"409","‭90130132‬",8
"410","‭90130164‬",71
"411","‭90130254‬",16
"412","‭90130632‬",0
"413","‭90130768‬",48
"414","‭90131060‬",0
"415","‭90131117‬",5
"416","‭90131575‬",0
"417","‭90131647‬",0
"418","‭90131773‬",18
"419","‭90131960‬",104
"420","‭90132024‬",0
"421","‭90132042‬",2
"422","‭90132058‬",0
"423","‭90132810‬",0
"424","‭90133085‬",53
"425","‭90133086‬",0
"426","‭90133094‬",172
"427","‭90133097‬",0
"428","‭90133196‬",7
"429","‭90133586‬",11
"430","‭90133846‬",0
"431","‭90134026‬",0
"432","‭90134127‬",4
"433","‭90138885‬",0
