"","V7","V6.m","V6.s"
"1","‭00040676-581628‬",2045,0
"2","‭02637241‬",2,0
"3","‭18055778‬",1354.5,994.377666907521
"4","‭26366248‬",1269.72727272727,849.080925578839
"5","‭29011419‬",1505.45454545455,495.169135475216
"6","‭29013329‬",1067.16666666667,961.833960029831
"7","‭29566464‬",2,0
"8","‭30050788‬",1252.16666666667,728.53612044145
"9","‭30767261‬",2,0
"10","‭31522907‬",2,0
"11","‭31545384‬",2,0
"12","‭31569134‬",575,848.261859226372
"13","‭31583292‬",2,0
"14","‭31599401‬",324.583333333333,686.369296083428
"15","‭31607062‬",2,0
"16","‭31607326‬",785.25,912.522091886995
"17","‭31607384‬",225,532.662949886528
"18","‭31611219‬",2,0
"19","‭31611487‬",627.75,338.450244765487
"20","‭31611593‬",1437,668.123641252126
"21","‭31618015‬",2,0
"22","‭31630725‬",2,0
"23","‭31658817‬",2,0
"24","‭31664856‬",569.916666666667,846.10889674528
"25","‭31672878‬",1428.91666666667,949.592396608655
"26","‭31672881‬",2,0
"27","‭31680461‬",2,0
"28","‭31688749‬",2,0
"29","‭31689023‬",1651.08333333333,517.531985543508
"30","‭31689374‬",148,307.985930414578
"31","‭31689394‬",2,0
"32","‭31689598‬",524.8,778.323004927903
"33","‭31697618‬",1146,1075.94475281546
"34","‭31699851‬",1561.25,957.153842009072
"35","‭31699894‬",2,0
"36","‭31700955‬",2,0
"37","‭31701201‬",2,0
"38","‭31701207‬",380.583333333333,688.46752855802
"39","‭31702492‬",2,0
"40","‭31703241‬",2,0
"41","‭31800470‬",2,0
"42","‭31800488‬",1043.58333333333,1038.58176535761
"43","‭31801245‬",2,0
"44","‭31801379‬",701.454545454545,388.911651570473
"45","‭31975109‬",2,0
"46","‭31975540‬",1043.16666666667,990.802230824124
"47","‭32001272‬",2,0
"48","‭32180915‬",2,0
"49","‭32549274‬",2,0
"50","‭38019264‬",438.75,792.37194262199
"51","‭40229284‬",2,0
"52","‭40229408‬",809.833333333333,605.110933981731
"53","‭41600556‬",2,0
"54","‭42111435‬",2,0
"55","‭42278783‬",2,0
"56","‭42559574‬",2,0
"57","‭43238198‬",2,0
"58","‭45952965‬",2,0
"59","‭45952987‬",2,0
"60","‭46000028‬",2,0
"61","‭46000849‬",2,0
"62","‭46223820‬",2,0
"63","‭46370212‬",1457.41666666667,754.106871897097
"64","‭46550142‬",1295,481.795945741902
"65","‭49049605‬",2,0
"66","‭49112058‬",1428.2,682.072788556243
"67","‭49113315‬",1256.5,762.753564396785
"68","‭49121281‬",35,99
"69","‭49121650‬",2,0
"70","‭49122226‬",1527.58333333333,520.41320267183
"71","‭49123673‬",2,0
"72","‭49124425‬",862.416666666667,188.281925137102
"73","‭49124442‬",2,0
"74","‭49125313‬",2,0
"75","‭49125943‬",1100.58333333333,683.494557846703
"76","‭49126187‬",781.333333333333,744.342459469898
"77","‭49126863‬",563.583333333333,642.618005906426
"78","‭49127455‬",2,0
"79","‭49128383‬",720.416666666667,734.06767812008
"80","‭49128624‬",2,0
"81","‭49129289‬",2,0
"82","‭49129398‬",62.5454545454545,158.083752255799
"83","‭49129400‬",2,0
"84","‭49129436‬",2,0
"85","‭49129577‬",2008.58333333333,554.166279334565
"86","‭49130088‬",2,0
"87","‭49130104‬",135.166666666667,461.302865082511
"88","‭49130333‬",2,0
"89","‭49130339‬",2,0
"90","‭49130346‬",2,0
"91","‭49130476‬",757.2,1044.95569284061
"92","‭49130562‬",2,0
"93","‭49130574‬",2082.90909090909,210.613605707445
"94","‭49130778‬",1006.83333333333,604.652241650797
"95","‭49130853‬",88.7,274.169473136598
"96","‭49130923‬",2,0
"97","‭49130935‬",2,0
"98","‭49131350‬",1171.83333333333,558.153259066057
"99","‭49132263‬",2,0
"100","‭49132394‬",146.090909090909,477.895481155755
"101","‭49133184‬",2,0
"102","‭49133387‬",2,0
"103","‭49133498‬",168.5,453.381938125221
"104","‭49134111‬",2,0
"105","‭49135196‬",2,0
"106","‭49135841‬",585.916666666667,841.936777839517
"107","‭49136314‬",954.625,641.282183820597
"108","‭49136546‬",1112.1,687.15443032197
"109","‭49136556‬",1903.9,796.747757379265
"110","‭49136659‬",1376.4,921.481078361231
"111","‭49137136‬",1404.36363636364,841.070065182119
"112","‭49137434‬",803.833333333333,904.611301090477
"113","‭49137593‬",1171.08333333333,958.962930209063
"114","‭49137888‬",1248,352.49510634901
"115","‭49138154‬",1167.75,666.15015028691
"116","‭49138377‬",2,0
"117","‭49139215‬",1302,989.547371276383
"118","‭49160859‬",2,0
"119","‭49188075‬",476.916666666667,572.958265707394
"120","‭49240093‬",1380.83333333333,439.90987368971
"121","‭49240095‬",1146.08333333333,493.376392981581
"122","‭49240287‬",1247.58333333333,952.995607958336
"123","‭49241049‬",2,0
"124","‭49241062‬",2,0
"125","‭49241951‬",1086.66666666667,836.388701864187
"126","‭49242844‬",2,0
"127","‭49242867‬",903.818181818182,978.770434594529
"128","‭49243077‬",504.555555555556,531.657340566062
"129","‭49243098‬",1237.55555555556,761.484588010669
"130","‭49243099‬",1387.22222222222,759.890745070924
"131","‭49243619‬",2,0
"132","‭49243844‬",2,0
"133","‭49244332‬",2,0
"134","‭49244676‬",2,0
"135","‭49245095‬",2,0
"136","‭49245821‬",980.416666666667,351.267175790564
"137","‭49246536‬",1239.5,1046.90309528107
"138","‭49246766‬",2,0
"139","‭49246767‬",2,0
"140","‭49247021‬",2,0
"141","‭49247086‬",2,0
"142","‭49247087‬",2,0
"143","‭49247720‬",2,0
"144","‭49247931‬",1655.5,803.051509725701
"145","‭49247952‬",1742.91666666667,595.752001230123
"146","‭49249170‬",2,0
"147","‭49249331‬",2,0
"148","‭49249370‬",2,0
"149","‭49249381‬",268.583333333333,622.820922509152
"150","‭49401950‬",2,0
"151","‭49405993‬",817.857142857143,876.344572370828
"152","‭49406377‬",161.333333333333,478
"153","‭49406833‬",2,0
"154","‭49409064‬",1310.09090909091,850.389611242453
"155","‭49410490‬",1388.75,655.605774698623
"156","‭49411973‬",2,0
"157","‭49412879‬",2,0
"158","‭49413721‬",2,0
"159","‭49415922‬",1500.8,635.238153066321
"160","‭49422556‬",687.583333333333,849.497119512836
"161","‭49424352‬",658.666666666667,802.027468735367
"162","‭49425582‬",1459.45454545455,1048.23006669685
"163","‭49426184‬",1352.16666666667,927.133787867782
"164","‭49429032‬",602.583333333333,393.536981820776
"165","‭49432874‬",1031.71428571429,826.083069730422
"166","‭49434990‬",693.083333333333,221.122943315718
"167","‭49435004‬",640.333333333333,857.448682093711
"168","‭49435005‬",847.5,879.315901451495
"169","‭49510369‬",1045.2,397.324888053425
"170","‭49511675‬",161.7,505.01574232889
"171","‭49513227‬",1490.2,780.773519587395
"172","‭49513936‬",2,0
"173","‭49514498‬",2,0
"174","‭49514798‬",424,447.38960039931
"175","‭49515765‬",2,0
