"","V7","V4.m","V4.s"
"1","‭00040676-581628‬",1873,0
"2","‭02637241‬",2,0
"3","‭18055778‬",1240.5,912.272041541216
"4","‭26366248‬",1162.36363636364,783.621499542639
"5","‭29011419‬",1348.54545454545,447.233353773254
"6","‭29013329‬",968.333333333333,880.485017854743
"7","‭29566464‬",2,0
"8","‭30050788‬",1137.33333333333,666.136395169711
"9","‭30767261‬",2,0
"10","‭31522907‬",2,0
"11","‭31545384‬",2,0
"12","‭31569134‬",522.5,772.529081535564
"13","‭31583292‬",2,0
"14","‭31599401‬",295.916666666667,626.394656068772
"15","‭31607062‬",2,0
"16","‭31607326‬",717.083333333333,837.385700024822
"17","‭31607384‬",204.25,483.357974815955
"18","‭31611219‬",2,0
"19","‭31611487‬",1199.33333333333,1021.76089831885
"20","‭31611593‬",1306.54545454545,618.084519080742
"21","‭31618015‬",2,0
"22","‭31630725‬",2,0
"23","‭31658817‬",2,0
"24","‭31664856‬",519.666666666667,771.886983405936
"25","‭31672878‬",1312.08333333333,873.648510384451
"26","‭31672881‬",2,0
"27","‭31680461‬",2,0
"28","‭31688749‬",2,0
"29","‭31689023‬",1506.91666666667,482.489652895806
"30","‭31689374‬",131.5,273.120750666156
"31","‭31689394‬",2,0
"32","‭31689598‬",476.2,708.394805175758
"33","‭31697618‬",1050,988.163954007633
"34","‭31699851‬",1431.83333333333,881.305625796526
"35","‭31699894‬",2,0
"36","‭31700955‬",2,0
"37","‭31701201‬",2,0
"38","‭31701207‬",346.5,631.143478861258
"39","‭31702492‬",2,0
"40","‭31703241‬",2,0
"41","‭31800470‬",2,0
"42","‭31800488‬",952.666666666667,949.379637958228
"43","‭31801245‬",2,0
"44","‭31801379‬",633.090909090909,350.36536773644
"45","‭31975109‬",2,0
"46","‭31975540‬",948.833333333333,904.948701040645
"47","‭32001272‬",2,0
"48","‭32180915‬",2,0
"49","‭32549274‬",2,0
"50","‭38019264‬",400.083333333333,722.440618300007
"51","‭40229284‬",2,0
"52","‭40229408‬",730.916666666667,546.020222458228
"53","‭41600556‬",2,0
"54","‭42111435‬",2,0
"55","‭42278783‬",2,0
"56","‭42559574‬",2,0
"57","‭43238198‬",2,0
"58","‭45952965‬",2,0
"59","‭45952987‬",2,0
"60","‭46000028‬",2,0
"61","‭46000849‬",2,0
"62","‭46223820‬",2,0
"63","‭46370212‬",1326.58333333333,687.51627528945
"64","‭46550142‬",1174.6,440.688905137299
